Issue key,Issue id,"Custom field 
(CRM Company)",Custom field (Environment),Status,Custom field (Request Category),Created,Resolved,Resolution
TSR-205284,375972,Customer 7,,Closed,Software Change,29-Nov-21,07-Apr-22,Done
TSR-198649,369162,Customer 7,,In Review,Software Change,26-Nov-21,,
TSR-198383,368878,Customer 7,,Waiting on customer,Software Change,26-Nov-21,,
TSR-197430,367844,Customer 7,,In Review,Infrastructure Change,25-Nov-21,,
TSR-195875,366069,Customer 7,,Waiting on customer,Software Change,23-Nov-21,,
TSR-195845,366038,Customer 7,,Closed,Software Change,23-Nov-21,07-Apr-22,Done
TSR-193345,363222,Customer 7,,Closed,Software Change,18-Nov-21,06-Jan-22,Done
TSR-190570,360137,Customer 7,,Closed,Software Change,12-Nov-21,07-Apr-22,Done
TSR-189962,359483,Customer 7,,Closed,Software Change,12-Nov-21,06-Jan-22,Done
TSR-189954,359475,Customer 7,,Closed,Software Change,12-Nov-21,06-Jan-22,Done
TSR-189866,359385,Customer 7,,Closed,Software Change,11-Nov-21,10-Jan-22,Done
TSR-188704,357999,Customer 7,,Closed,Software Change,10-Nov-21,05-Jan-22,Done
TSR-187760,356925,Customer 7,,Closed,Software Change,08-Nov-21,07-Feb-22,Done
TSR-184122,352745,Customer 7,,Closed,Software Change,01-Nov-21,10-Jan-22,Done
TSR-183021,351547,Customer 7,,In Review,Software Change,30-Oct-21,,
TSR-181455,349802,Customer 7,,Closed,Software Change,28-Oct-21,10-Jan-22,Done
TSR-181381,349725,Customer 7,,Closed,Software Change,27-Oct-21,06-Jan-22,Done
TSR-180001,348200,Customer 7,,Closed,Software Change,26-Oct-21,07-Apr-22,Done
TSR-179057,347124,Customer 7,,Closed,Software Change,23-Oct-21,05-Jan-22,Done
TSR-178939,347000,Customer 7,,In Review,Software Change,23-Oct-21,,
TSR-177505,345346,Customer 7,,Closed,Software Change,21-Oct-21,10-Jan-22,Done
TSR-177497,345336,Customer 7,,Closed,Software Change,21-Oct-21,10-Jan-22,Done
TSR-177440,345267,Customer 7,,Closed,Software Change,21-Oct-21,10-Jan-22,Done
TSR-176596,344285,Customer 7,,Closed,Software Change,19-Oct-21,10-Jan-22,Done
TSR-174956,342431,Customer 7,,In Review,Software Change,16-Oct-21,,
TSR-174947,342422,Customer 7,,In Review,Software Change,16-Oct-21,,
TSR-174943,342418,Customer 7,,In Review,Software Change,16-Oct-21,,
TSR-174933,342407,Customer 7,,Waiting on customer,Software Change,16-Oct-21,,
TSR-173311,340732,Customer 7,,In Review,Software Change,15-Oct-21,,
TSR-172751,340107,Customer 7,,Closed,Software Change,14-Oct-21,10-Jan-22,Done
TSR-172718,340068,Customer 7,,Closed,Software Change,14-Oct-21,06-Jan-22,Done
TSR-170098,337186,Customer 7,,Closed,Software Change,08-Oct-21,10-Jan-22,Done
TSR-169529,336524,Customer 7,,Closed,Software Change,08-Oct-21,06-Jan-22,Done
TSR-169523,336518,Customer 7,,In Review,Software Change,08-Oct-21,,
TSR-167121,333772,Customer 7,,Closed,Software Change,04-Oct-21,06-Jan-22,Done
TSR-166171,332722,Customer 7,,Closed,Software Change,02-Oct-21,06-Jan-22,Done
TSR-165503,331994,Customer 7,,Closed,Software Change,01-Oct-21,06-Jan-22,Done
TSR-164632,331009,Customer 7,,In Review,Software Change,30-Sep-21,,
TSR-163800,330055,Customer 7,,Closed,Software Change,28-Sep-21,06-Jan-22,Done
TSR-161968,328016,Customer 7,,Waiting on customer,Software Change,25-Sep-21,,
TSR-161964,328012,Customer 7,,Closed,Software Change,25-Sep-21,06-Apr-22,Done
TSR-161952,327999,Customer 7,,Closed,Software Change,25-Sep-21,06-Apr-22,Done
TSR-161921,327963,Customer 7,,Closed,Software Change,24-Sep-21,06-Apr-22,Done
TSR-161913,327955,Customer 7,,Closed,Software Change,24-Sep-21,06-Apr-22,Done
TSR-161900,327942,Customer 7,,In Review,Software Change,24-Sep-21,,
TSR-161899,327941,Customer 7,,In Review,Software Change,24-Sep-21,,
TSR-161886,327927,Customer 7,,In Review,Software Change,24-Sep-21,,
TSR-161878,327918,Customer 7,,In Review,Software Change,24-Sep-21,,
TSR-161134,327084,Customer 7,,Closed,Software Change,23-Sep-21,06-Apr-22,Done
TSR-157381,322904,Customer 7,,In Review,Software Change,17-Sep-21,,
TSR-157368,322887,Customer 7,,Closed,Software Change,17-Sep-21,06-Apr-22,Done
TSR-157269,322750,Customer 7,,In Review,Software Change,17-Sep-21,,
TSR-156634,322031,Customer 7,,Waiting on customer,Software Change,16-Sep-21,,
TSR-148471,308049,Customer 7,,In Review,Software Change,01-Sep-21,,
TSR-148462,308038,Customer 7,,Closed,Software Change,01-Sep-21,06-Apr-22,Done
TSR-147671,307136,Customer 7,,Closed,Software Change,31-Aug-21,06-Apr-22,Done
TSR-146461,305827,Customer 7,,In Review,Software Change,28-Aug-21,,
TSR-145696,304769,Customer 7,,Waiting on customer,Software Change,26-Aug-21,,
TSR-145199,304207,Customer 7,,In Review,Software Change,26-Aug-21,,
TSR-145177,304183,Customer 7,,Closed,Software Change,26-Aug-21,06-Apr-22,Done
TSR-145133,304131,Customer 7,,In Review,Software Change,26-Aug-21,,
TSR-145087,304084,Customer 7,,In Review,Software Change,25-Aug-21,,
TSR-141471,299984,Customer 7,,In Review,Software Change,19-Aug-21,,
TSR-141455,299962,Customer 7,,In Review,Software Change,19-Aug-21,,
TSR-139296,297429,Customer 7,,Closed,Software Change,14-Aug-21,06-Apr-22,Done
TSR-139291,297424,Customer 7,,Closed,Software Change,14-Aug-21,06-Apr-22,Done
TSR-138541,296583,Customer 7,,Closed,Software Change,13-Aug-21,06-Apr-22,Done
TSR-137172,294996,Customer 7,,In Review,Software Change,11-Aug-21,,
TSR-137165,294987,Customer 7,,Closed,Software Change,11-Aug-21,06-Apr-22,Done
TSR-135515,293118,Customer 7,,In Review,Software Change,07-Aug-21,,
TSR-134730,292235,Customer 7,,In Review,Software Change,05-Aug-21,,
TSR-134084,291469,Customer 7,,In Review,Software Change,05-Aug-21,,
TSR-133406,290696,Customer 7,,In Review,Software Change,04-Aug-21,,
TSR-131508,288602,Customer 7,,In Review,Software Change,31-Jul-21,,
TSR-130910,287952,Customer 7,,In Review,Software Change,30-Jul-21,,
TSR-130843,287879,Customer 7,,Closed,Software Change,30-Jul-21,06-Apr-22,Done
TSR-128713,285491,Customer 7,,Closed,Software Change,26-Jul-21,06-Apr-22,Done
TSR-128018,284708,Customer 7,,In Review,Software Change,24-Jul-21,,
TSR-127834,284508,Customer 7,,Closed,Software Change,23-Jul-21,06-Apr-22,Done
TSR-127354,283957,Customer 7,,Closed,Software Change,23-Jul-21,06-Apr-22,Done
TSR-126648,283119,Customer 7,,Closed,Software Change,21-Jul-21,06-Apr-22,Done
TSR-126261,282648,Customer 7,,In Review,Software Change,21-Jul-21,,
TSR-125538,281819,Customer 7,,In Review,Software Change,19-Jul-21,,
TSR-122485,278582,Customer 7,,In Review,Software Change,16-Jul-21,,
TSR-122467,278563,Customer 7,,In Review,Software Change,15-Jul-21,,
TSR-121907,277911,Customer 7,,In Review,Software Change,15-Jul-21,,
TSR-120613,276291,Customer 7,,Waiting on customer,Software Change,13-Jul-21,,
TSR-120515,276180,Customer 7,,In Review,Software Change,13-Jul-21,,
TSR-119513,275005,Customer 7,,Closed,Software Change,10-Jul-21,06-Apr-22,Done
TSR-119395,274870,Customer 7,,Closed,Software Change,09-Jul-21,06-Apr-22,Done
TSR-118216,273204,Customer 7,,In Review,Software Change,08-Jul-21,,
TSR-118212,273200,Customer 7,,Closed,Software Change,08-Jul-21,06-Apr-22,Done
TSR-117654,272570,Customer 7,,Closed,Software Change,07-Jul-21,06-Apr-22,Done
TSR-117611,272525,Customer 7,,In Review,Software Change,07-Jul-21,,
TSR-117003,271829,Customer 7,,In Review,Software Change,06-Jul-21,,
TSR-114747,269285,Customer 7,,In Review,Software Change,01-Jul-21,,
TSR-114098,268559,Customer 7,,Closed,Software Change,30-Jun-21,06-Apr-22,Done
TSR-113980,268426,Customer 7,,Closed,Software Change,30-Jun-21,06-Apr-22,Done
TSR-112137,266379,Customer 7,,Closed,Software Change,25-Jun-21,06-Apr-22,Done
TSR-111677,265691,Customer 7,,Waiting on customer,Software Change,24-Jun-21,,
TSR-111654,265666,Customer 7,,Closed,Software Change,24-Jun-21,06-Apr-22,Done
TSR-110430,264299,Customer 7,,Closed,Software Change,22-Jun-21,06-Apr-22,Done
TSR-109912,263715,Customer 7,,In Review,Software Change,22-Jun-21,,
TSR-108986,262601,Customer 7,,Closed,Software Change,18-Jun-21,06-Apr-22,Done
TSR-107942,261398,Customer 7,,In Review,Software Change,17-Jun-21,,
TSR-107065,260399,Customer 7,,Closed,Software Change,15-Jun-21,06-Apr-22,Done
TSR-106554,259773,Customer 7,,Canceled,Infrastructure Change,15-Jun-21,03-Feb-22,Done
TSR-106450,259660,Customer 7,,In Review,Software Change,14-Jun-21,,
TSR-106383,259583,Customer 7,,Waiting on customer,Software Change,14-Jun-21,,
TSR-105964,259116,Customer 7,,Waiting on customer,Software Change,14-Jun-21,,
TSR-103976,256868,Customer 7,,Closed,Software Change,09-Jun-21,06-Apr-22,Done
TSR-103575,256420,Customer 7,,In Review,Software Change,09-Jun-21,,
TSR-103531,256371,Customer 7,,In Review,Software Change,09-Jun-21,,
TSR-100924,253291,Customer 7,,Closed,Software Change,03-Jun-21,10-Mar-22,Done
TSR-97276,249198,Customer 7,,In Review,Software Change,27-May-21,,
TSR-97063,248964,Customer 7,,In Review,Software Change,26-May-21,,
TSR-92365,243575,Customer 7,,In Review,Software Change,19-May-21,,
TSR-90662,241568,Customer 7,,In Review,Software Change,16-May-21,,
TSR-90643,241547,Customer 7,,In Review,Software Change,16-May-21,,
TSR-90445,241340,Customer 7,,In Review,Software Change,15-May-21,,
TSR-90010,240751,Customer 7,,Closed,Software Change,13-May-21,06-Apr-22,Done
TSR-88293,238811,Customer 7,,In Review,Software Change,10-May-21,,
TSR-87688,238121,Customer 7,,In Review,Software Change,09-May-21,,
TSR-87580,238002,Customer 7,,In Review,Software Change,08-May-21,,
TSR-86857,237166,Customer 7,,In Review,Software Change,06-May-21,,
TSR-86373,236518,Customer 7,,In Review,Software Change,06-May-21,,
TSR-86360,236504,Customer 7,,In Review,Software Change,06-May-21,,
TSR-86355,236499,Customer 7,,In Review,Software Change,06-May-21,,
TSR-85577,235633,Customer 7,,In Review,Software Change,05-May-21,,
TSR-84854,234825,Customer 7,,Waiting on customer,Software Change,04-May-21,,
TSR-83947,233825,Customer 7,,In Review,Software Change,30-Apr-21,,
TSR-83468,233296,Customer 7,,In Review,Software Change,30-Apr-21,,
TSR-83247,233055,Customer 7,,In Review,Software Change,29-Apr-21,,
TSR-82784,232539,Customer 7,,In Review,Software Change,29-Apr-21,,
TSR-82707,232443,Customer 7,,In Review,Software Change,28-Apr-21,,
TSR-82162,231825,Customer 7,,In Review,Software Change,28-Apr-21,,
TSR-81607,231158,Customer 7,,In Review,Software Change,27-Apr-21,,
TSR-76103,224304,Customer 7,,In Review,Software Change,15-Apr-21,,
TSR-76098,224299,Customer 7,,In Review,Software Change,15-Apr-21,,
TSR-52214,198309,Customer 7,,In Review,Infrastructure Change,27-Mar-21,,
TSR-51612,197522,Customer 7,,In Review,Software Change,25-Mar-21,,
TSR-51582,197487,Customer 7,,In Review,Software Change,24-Mar-21,,
TSR-51021,196726,Customer 7,,In Review,Software Change,22-Mar-21,,
TSR-50081,195472,Customer 7,,In Review,Software Change,17-Mar-21,,
TSR-49915,195246,Customer 7,,In Review,Software Change,17-Mar-21,,
TSR-49901,195225,Customer 7,,In Review,Software Change,17-Mar-21,,
TSR-49511,194715,Customer 7,,In Review,Software Change,15-Mar-21,,
TSR-49195,194297,Customer 7,,In Review,Software Change,13-Mar-21,,
TSR-48380,193065,Customer 7,,In Review,Software Change,10-Mar-21,,
TSR-48371,193056,Customer 7,,In Review,Software Change,10-Mar-21,,
TSR-47996,192604,Customer 7,,In Review,Software Change,09-Mar-21,,
TSR-47414,191884,Customer 7,,In Review,Software Change,05-Mar-21,,
TSR-47409,191879,Customer 7,,In Review,Software Change,05-Mar-21,,
TSR-47333,191778,Customer 7,,In Review,Software Change,04-Mar-21,,
TSR-46247,190458,Customer 7,,In Review,Software Change,01-Mar-21,,
TSR-45889,190036,Customer 7,,Waiting on customer,Software Change,27-Feb-21,,
TSR-45866,190010,Customer 7,,In Review,Software Change,27-Feb-21,,
TSR-45591,189660,Customer 7,,Waiting on customer,Software Change,25-Feb-21,,
TSR-45009,188954,Customer 7,,Waiting on customer,Software Change,23-Feb-21,,
TSR-44813,188708,Customer 7,,Waiting on customer,Software Change,23-Feb-21,,
TSR-44711,188548,Customer 7,,Waiting on customer,Software Change,23-Feb-21,,
TSR-44034,187736,Customer 7,,In Review,Software Change,18-Feb-21,,
TSR-43989,187690,Customer 7,,Waiting on customer,Software Change,18-Feb-21,,
TSR-43755,187319,Customer 7,,Waiting on customer,Software Change,18-Feb-21,,
TSR-43007,186251,Customer 7,,In Review,Software Change,13-Feb-21,,
TSR-43001,186245,Customer 7,,In Review,Software Change,13-Feb-21,,
TSR-42400,185430,Customer 7,,In Review,Software Change,10-Feb-21,,
TSR-42335,185357,Customer 7,,In Review,Software Change,10-Feb-21,,
TSR-42327,185349,Customer 7,,In Review,Software Change,10-Feb-21,,
TSR-42111,184976,Customer 7,,In Review,Software Change,09-Feb-21,,
TSR-41959,184755,Customer 7,,In Review,Software Change,09-Feb-21,,
TSR-41882,184652,Customer 7,,In Review,Software Change,08-Feb-21,,
TSR-41678,184392,Customer 7,,In Review,Software Change,07-Feb-21,,
TSR-41674,184388,Customer 7,,In Review,,07-Feb-21,,
TSR-41670,184384,Customer 7,,In Review,Software Change,07-Feb-21,,
TSR-40952,183393,Customer 7,,In Review,Infrastructure Change,03-Feb-21,,
TSR-40940,183380,Customer 7,,In Review,Infrastructure Change,03-Feb-21,,
TSR-40853,183283,Customer 7,,In Review,Software Change,03-Feb-21,,
TSR-40611,182939,Customer 7,,In Review,Software Change,01-Feb-21,,
TSR-40101,182264,Customer 7,,In Review,Software Change,29-Jan-21,,
TSR-39897,181975,Customer 7,,In Review,Software Change,28-Jan-21,,
TSR-395755,587480,Customer 8,,In Review,Software Change,15-Sep-22,,
TSR-391708,583073,Customer 8,,WIP- NON prod Implementation,Infrastructure Change,08-Sep-22,,
TSR-317976,502812,Customer 8,,Closed,Infrastructure Change,25-May-22,08-Jul-22,Done
TSR-272629,452325,Customer 8,,Awaiting Non Prod Implementation,,18-Mar-22,,
TSR-272604,452300,Customer 8,,Closed,,18-Mar-22,24-Mar-22,Done
TSR-272592,452288,Customer 8,,Awaiting Non Prod Implementation,,18-Mar-22,,
TSR-270727,450235,Customer 8,,Awaiting Non Prod Implementation,Infrastructure Change,16-Mar-22,,
TSR-269772,449146,Customer 8,,Closed,Infrastructure Change,15-Mar-22,23-Mar-22,Done
TSR-267979,447149,Customer 8,,Closed,Software Change,11-Mar-22,21-Apr-22,Done
TSR-267643,446784,Customer 8,,Canceled,,11-Mar-22,11-Mar-22,Canceled
TSR-257204,435490,Customer 8,,Closed,Software Change,01-Mar-22,24-Mar-22,Done
TSR-253539,431430,Customer 8,,Closed,Software Change,23-Feb-22,23-Jul-22,Done
TSR-252050,429731,Customer 8,,Closed,Software Change,21-Feb-22,08-Mar-22,Done
TSR-251828,429506,Customer 8,,Awaiting Non Prod Implementation,Infrastructure Change,19-Feb-22,,
TSR-251467,429089,Customer 8,,Closed,Software Change,18-Feb-22,24-Jun-22,Done
TSR-251372,428986,Customer 8,,In Review,,18-Feb-22,,
TSR-247026,423958,Customer 8,,Closed,Infrastructure Change,11-Feb-22,11-Feb-22,Done
TSR-247000,423930,Customer 8,,Closed,Infrastructure Change,11-Feb-22,11-Feb-22,Done
TSR-246994,423923,Customer 8,,Closed,Infrastructure Change,11-Feb-22,11-Feb-22,Done
TSR-233773,408268,Customer 8,,Canceled,Software Change,20-Jan-22,20-Jan-22,Resolved
TSR-230582,404825,Customer 8,,Closed,Software Change,14-Jan-22,29-Jun-22,Done
TSR-230410,404641,Customer 8,,Closed,Software Change,14-Jan-22,28-Jan-22,Done
TSR-229122,403181,Customer 8,,Waiting on customer,Software Change,12-Jan-22,,
TSR-225848,399476,Customer 8,,Canceled,Infrastructure Change,05-Jan-22,15-Feb-22,Resolved
TSR-225432,399010,Customer 8,,Canceled,Software Change,05-Jan-22,05-Jan-22,Resolved
TSR-219196,391944,Customer 8,,Closed,Software Change,22-Dec-21,24-Jun-22,Done
TSR-215778,388241,Customer 8,,Closed,Software Change,16-Dec-21,24-Mar-22,Done
TSR-214914,386997,Customer 8,,Canceled,Software Change,15-Dec-21,24-Jun-22,Resolved
TSR-214907,386990,Customer 8,,Canceled,Software Change,15-Dec-21,22-Jun-22,Done
TSR-214899,386982,Customer 8,,Canceled,Software Change,15-Dec-21,22-Jun-22,Done
TSR-214896,386979,Customer 8,,Canceled,Software Change,15-Dec-21,22-Jun-22,Done
TSR-214892,386974,Customer 8,,Canceled,Software Change,15-Dec-21,22-Jun-22,Done
TSR-208273,379397,Customer 8,,Canceled,Software Change,03-Dec-21,29-Jun-22,Resolved
TSR-198498,369003,Customer 8,,Canceled,Software Change,26-Nov-21,24-Jun-22,Resolved
TSR-198205,368687,Customer 8,,Closed,Software Change,26-Nov-21,02-Jan-22,Done
TSR-197051,367414,Customer 8,,Closed,Infrastructure Change,24-Nov-21,02-Jan-22,Done
TSR-190297,359852,Customer 8,,Closed,Infrastructure Change,12-Nov-21,22-Jun-22,Done
TSR-182165,350581,Customer 8,,Closed,Software Change,28-Oct-21,24-Mar-22,Done
TSR-178503,346525,Customer 8,,Closed,Software Change,22-Oct-21,22-Jun-22,Done
TSR-177983,345901,Customer 8,,Closed,Software Change,21-Oct-21,24-Mar-22,Done
TSR-176336,344005,Customer 8,,Closed,Software Change,19-Oct-21,24-Mar-22,Done
TSR-171504,338710,Customer 8,,Closed,Infrastructure Change,12-Oct-21,22-Jun-22,Done
TSR-170707,337832,Customer 8,,Waiting on customer,Software Change,11-Oct-21,,
TSR-164246,330584,Customer 8,,Canceled,Infrastructure Change,29-Sep-21,25-Jun-22,Resolved
TSR-157131,322595,Customer 8,,Canceled,Infrastructure Change,16-Sep-21,12-Jan-22,Resolved
TSR-408415,601306,Customer 8,,In Review,Software Change,05-Oct-22,,
TSR-407668,600472,Customer 8,,In Review,Software Change,03-Oct-22,,
TSR-407512,600302,Customer 8,,In Review,Software Change,03-Oct-22,,
TSR-407365,600138,Customer 8,,Waiting on customer,Software Change,03-Oct-22,,
TSR-406711,599413,Customer 8,,Awaiting Non Prod Implementation,Software Change,01-Oct-22,,
TSR-406381,599068,Customer 8,,In Review,Infrastructure Change,30-Sep-22,,
TSR-406220,598896,Customer 8,,In Review,Software Change,30-Sep-22,,
TSR-405725,598359,Customer 8,,Awaiting Prod implementation,Software Change,30-Sep-22,,
TSR-405172,597774,Customer 8,,In Review,Software Change,29-Sep-22,,
TSR-405150,597748,Customer 8,,In Review,Software Change,29-Sep-22,,
TSR-404746,597310,Customer 8,,Hold,Software Change,29-Sep-22,,
TSR-404734,597297,Customer 8,,In Review,Software Change,29-Sep-22,,
TSR-404639,597197,Customer 8,,In Review,Software Change,28-Sep-22,,
TSR-404535,597080,Customer 8,,In Review,Software Change,28-Sep-22,,
TSR-404373,596912,Customer 8,,In Review,Software Change,28-Sep-22,,
TSR-404143,596643,Customer 8,,In Review,Software Change,28-Sep-22,,
TSR-403812,596295,Customer 8,,Waiting on customer,Software Change,28-Sep-22,,
TSR-403804,596286,Customer 8,,Waiting on customer,Software Change,28-Sep-22,,
TSR-403665,596131,Customer 8,,In Review,Software Change,27-Sep-22,,
TSR-403477,595938,Customer 8,,Awaiting Non Prod Implementation,Software Change,27-Sep-22,,
TSR-402954,595365,Customer 8,,In Review,Software Change,27-Sep-22,,
TSR-402865,595268,Customer 8,,Waiting on customer,Software Change,27-Sep-22,,
TSR-402727,595111,Customer 8,,Waiting on customer,Software Change,26-Sep-22,,
TSR-402689,595073,Customer 8,,In Review,Software Change,26-Sep-22,,
TSR-402486,594842,Customer 8,,In Review,Software Change,26-Sep-22,,
TSR-401779,594088,Customer 8,,Awaiting Prod implementation,Software Change,24-Sep-22,,
TSR-401752,594060,Customer 8,,Waiting on customer,Infrastructure Change,24-Sep-22,,
TSR-401645,593945,Customer 8,,Waiting on customer,Software Change,23-Sep-22,,
TSR-401616,593915,Customer 8,,Awaiting Non Prod Implementation,Software Change,23-Sep-22,,
TSR-401005,593252,Customer 8,,Waiting on customer,Software Change,23-Sep-22,,
TSR-400942,593178,Customer 8,,Awaiting Prod implementation,Software Change,23-Sep-22,,
TSR-400939,593175,Customer 8,,Waiting on customer,Software Change,23-Sep-22,,
TSR-400875,593107,Customer 8,,In Review,Infrastructure Change,22-Sep-22,,
TSR-400397,592609,Customer 8,,Awaiting Non Prod Implementation,Software Change,22-Sep-22,,
TSR-400161,592331,Customer 8,,Waiting on customer,Software Change,22-Sep-22,,
TSR-400012,592167,Customer 8,,In Review,Software Change,21-Sep-22,,
TSR-399955,592105,Customer 8,,Waiting on customer,Software Change,21-Sep-22,,
TSR-399919,592065,Customer 8,,Waiting on customer,Software Change,21-Sep-22,,
TSR-399126,591177,Customer 8,,Awaiting Prod implementation,Software Change,20-Sep-22,,
TSR-399103,591152,Customer 8,,Awaiting Non Prod Implementation,Software Change,20-Sep-22,,
TSR-398410,590380,Customer 8,,Waiting on customer,Software Change,20-Sep-22,,
TSR-398172,590127,Customer 8,,Awaiting Non Prod Implementation,Software Change,19-Sep-22,,
TSR-396676,588494,Customer 8,,Customer Replied,Software Change,16-Sep-22,,
TSR-396449,588218,Customer 8,,Waiting on customer,Software Change,16-Sep-22,,
TSR-396367,588130,Customer 8,,In Review,Software Change,15-Sep-22,,
TSR-395854,587585,Customer 8,,WIP- NON prod Implementation,Software Change,15-Sep-22,,
TSR-395845,587576,Customer 8,,Waiting on customer,Software Change,15-Sep-22,,
TSR-395675,587390,Customer 8,,Waiting on customer,Software Change,15-Sep-22,,
TSR-395625,587332,Customer 8,,In Review,Software Change,15-Sep-22,,
TSR-395350,587040,Customer 8,,Waiting on customer,Software Change,14-Sep-22,,
TSR-392805,584239,Customer 8,,Customer Replied,Software Change,10-Sep-22,,
TSR-392787,584221,Customer 8,,Hold,Software Change,10-Sep-22,,
TSR-392744,584168,Customer 8,,In Review,Software Change,09-Sep-22,,
TSR-392740,584164,Customer 8,,In Review,Software Change,09-Sep-22,,
TSR-392037,583425,Customer 8,,Waiting on customer,Software Change,09-Sep-22,,
TSR-392001,583389,Customer 8,,Customer Replied,Software Change,09-Sep-22,,
TSR-391887,583265,Customer 8,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391535,582889,Customer 8,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391217,582545,Customer 8,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391194,582522,Customer 8,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391012,582321,Customer 8,,In Review,Software Change,07-Sep-22,,
TSR-390322,581549,Customer 8,,Waiting on customer,Software Change,07-Sep-22,,
TSR-390314,581541,Customer 8,,Waiting on customer,Software Change,07-Sep-22,,
TSR-390304,581530,Customer 8,,Customer Replied,Software Change,07-Sep-22,,
TSR-390290,581511,Customer 8,,Hold,Software Change,07-Sep-22,,
TSR-390241,581458,Customer 8,,Waiting on customer,Software Change,07-Sep-22,,
TSR-390133,581326,Customer 8,,Waiting on customer,Software Change,06-Sep-22,,
TSR-389999,581186,Customer 8,,Awaiting Non Prod Implementation,Software Change,06-Sep-22,,
TSR-389989,581176,Customer 8,,Waiting on customer,Software Change,06-Sep-22,,
TSR-388976,580077,Customer 8,,Waiting on customer,Software Change,05-Sep-22,,
TSR-388116,579160,Customer 8,,Waiting on customer,Software Change,02-Sep-22,,
TSR-388102,579145,Customer 8,,Awaiting Prod implementation,Software Change,02-Sep-22,,
TSR-388019,579049,Customer 8,,Waiting on customer,Software Change,02-Sep-22,,
TSR-387478,578465,Customer 8,,Waiting on customer,Software Change,02-Sep-22,,
TSR-386725,577631,Customer 8,,Awaiting Non Prod Implementation,Software Change,01-Sep-22,,
TSR-386619,577522,Customer 8,,Awaiting Prod implementation,Software Change,01-Sep-22,,
TSR-386352,577223,Customer 8,,Awaiting Prod implementation,Software Change,31-Aug-22,,
TSR-386348,577219,Customer 8,,Awaiting Prod implementation,Software Change,31-Aug-22,,
TSR-386333,577203,Customer 8,,Awaiting Prod implementation,Software Change,31-Aug-22,,
TSR-386330,577200,Customer 8,,Waiting on customer,Software Change,31-Aug-22,,
TSR-385724,576553,Customer 8,,Customer Replied,Software Change,31-Aug-22,,
TSR-385565,576388,Customer 8,,Waiting on customer,Software Change,30-Aug-22,,
TSR-384657,575376,Customer 8,,Customer Replied,Software Change,30-Aug-22,,
TSR-384632,575350,Customer 8,,Waiting on customer,Software Change,30-Aug-22,,
TSR-384620,575337,Customer 8,,Customer Replied,Software Change,30-Aug-22,,
TSR-384419,575114,Customer 8,,Waiting on customer,Software Change,29-Aug-22,,
TSR-382940,573530,Customer 8,,In Review,Infrastructure Change,26-Aug-22,,
TSR-382208,572709,Customer 8,,Waiting on customer,Software Change,25-Aug-22,,
TSR-381473,571913,Customer 8,,Waiting on customer,Software Change,25-Aug-22,,
TSR-381267,571694,Customer 8,,Waiting on customer,Software Change,24-Aug-22,,
TSR-380519,570883,Customer 8,,Waiting on customer,Software Change,24-Aug-22,,
TSR-379595,569551,Customer 8,,Waiting on customer,Software Change,23-Aug-22,,
TSR-379522,569473,Customer 8,,Waiting on customer,Software Change,22-Aug-22,,
TSR-379452,569398,Customer 8,,Customer Replied,Software Change,22-Aug-22,,
TSR-377124,566894,Customer 8,,Waiting on customer,Software Change,18-Aug-22,,
TSR-376519,566231,Customer 8,,Waiting on customer,Software Change,17-Aug-22,,
TSR-375971,565637,Customer 8,,In Review,Software Change,17-Aug-22,,
TSR-375632,565252,Customer 8,,Canceled,Software Change,16-Aug-22,16-Aug-22,Canceled
TSR-375443,565042,Customer 8,,Waiting on customer,Software Change,16-Aug-22,,
TSR-375408,565006,Customer 8,,Waiting on customer,Software Change,16-Aug-22,,
TSR-374920,564474,Customer 8,,Waiting on customer,Software Change,16-Aug-22,,
TSR-374755,564302,Customer 8,,Waiting on customer,Software Change,15-Aug-22,,
TSR-374692,564237,Customer 8,,Awaiting Prod implementation,Infrastructure Change,15-Aug-22,,
TSR-374618,564161,Customer 8,,In Review,Infrastructure Change,15-Aug-22,,
TSR-374492,564028,Customer 8,,Closed,Software Change,15-Aug-22,31-Aug-22,Done
TSR-374032,563552,Customer 8,,Waiting on customer,Software Change,13-Aug-22,,
TSR-373506,562979,Customer 8,,Closed,Infrastructure Change,12-Aug-22,15-Aug-22,Done
TSR-373150,562581,Customer 8,,Waiting on customer,Software Change,11-Aug-22,,
TSR-373133,562562,Customer 8,,Waiting on customer,Software Change,11-Aug-22,,
TSR-372424,561795,Customer 8,,Awaiting Non Prod Implementation,Software Change,11-Aug-22,,
TSR-372408,561779,Customer 8,,Canceled,Software Change,11-Aug-22,11-Aug-22,Canceled
TSR-372391,561762,Customer 8,,Customer Replied,Software Change,11-Aug-22,,
TSR-371364,560614,Customer 8,,In Review,Software Change,09-Aug-22,,
TSR-370473,559616,Customer 8,,Hold,Software Change,08-Aug-22,,
TSR-370420,559561,Customer 8,,Customer Replied,Software Change,08-Aug-22,,
TSR-370114,559246,Customer 8,,Waiting on customer,Software Change,08-Aug-22,,
TSR-370098,559230,Customer 8,,Waiting on customer,Software Change,08-Aug-22,,
TSR-369282,558384,Customer 8,,Awaiting Non Prod Implementation,Software Change,06-Aug-22,,
